"","Species","Mean","Lower_2.5","Upper_97.5"
"1","Chuditch",0.0258740760057576,0.0150099418106378,0.0378699153660552
"2","Quenda",0.0302300654172491,0.0144711715789308,0.0493822003648118
"3","Woylie",0.0940572324255353,0.0702186644151034,0.118457479718479
"4","Red Fox",0.0158309373693476,0.00565092416598355,0.03145572625306
"5","Numbat",0.0171620210023992,0.00554311687981792,0.0369544954123269
